 Order ID,Customer Name ,customer_email,Order Date,Status,Amount ($),Qty,Product,Region,Notes,
10449,  Priya Haddad,priya.haddad@example.com,3/1/2026,Shipped ,$847.06,1,Standing desk,Central,Call before delivery,
10435,  Maria Lopez,maria.lopez@example.com,2026-02-23,pending,$859.79,1,Office chair,East,,
10465,  Felix Novak,,3/22/2026,SHIPPED ,"$1,386.10",2,Webcam,East,,
10486,James Novak,james.novak@example.com,7 Mar 2026,Shipped ,$75.93,2,Cable kit,West,,
10437,Priya Berg,priya.berg@example.com,2026-04-27,SHIPPED ,1522.3,1,Monitor arm,North,Gift wrap,
10470,Nora ONeil,nora.oneil@example.com,2026-02-03,Shipped,619.3,1,Headset,Central,,
10459,Ethan Fischer,ethan.fischer@example.com,2026-05-17, Pending,1336.98,3,Standing desk,Central,null,
10477,Liam Walsh,-,4/7/2026,shipped," 1,505.12 ",1,Office chair,East,Gift wrap,
10474,  Nora ONeil,nora.oneil@example.com,2026-06-01,Shipped ,1352.9,2,Cable kit,West,,
10503,Nora Carter,nora.carter@example.com,2026-01-24,Shipped,$121.02,3,Office chair,South,,
10467,James Hughes  ,james.hughes@example.com,9 Feb 2026,SHIPPED ,375.92,1,Standing desk,West,,
,,,,,,,,,,
10457,  Daniel Carter,daniel.carter@example.com,2026-02-01,Shipped,$911.33,3,Keyboard,South,Call before delivery,
10493,Sofia Brooks  ,sofia.brooks@example.com,26 May 2026,Shipped ," 1,882.00 ",1,Desk lamp,N/A,,
10441,Hannah Rossi  ,hannah.rossi@example.com,2026-02-02,refunded,"(1,706.68)",3,Desk lamp,Central,Gift wrap,
10454,Sofia Haddad,sofia.haddad@example.com,1 Jan 2026,shipped,985.8,1,Headset,North,Leave at door ,
10502,Maria Lopez  ,maria.lopez@example.com,3/8/2026,Shipped ,1591.7,2,Webcam,North,,
10464,  Nora Rossi,nora.rossi@example.com,2/3/2026,Pending,"$1,424.27",1,Webcam,South,Call before delivery,
10453,Sofia Fischer,sofia.fischer@example.com,2026-02-04,refunded,(113.71),1,Cable kit,East,Call before delivery,
10427,  Maria Park,maria.park@example.com,2026-01-16,SHIPPED ,262.2,1,Headset,West,,
10440,Lena Lopez,lena.lopez@example.com,5/21/2026,shipped,834.56,1,Keyboard,South,,
10461,Aisha Khan  ,aisha.khan@example.com,26 Mar 2026,SHIPPED ,$460.40,1,Cable kit,West,Gift wrap,
10434,Carlos Haddad,carlos.haddad@example.com,2026-06-17,shipped,1171.87,1,Cable kit,West,Leave at door ,
10476,Daniel Walsh,daniel.walsh@example.com,2026-04-22,Shipped , 178.81 ,1,Monitor arm,South,,
10426,Omar Novak  ,omar.novak@example.com,27 Jan 2026,SHIPPED , 910.30 ,1,Headset,,,
10494,Daniel Walsh,daniel.walsh@example.com,2026-06-19,Shipped,$718.81,1,Webcam,East,null,
10484,Liam Carter  ,n/a,2026-03-23,CANCELLED,231.8,1,Desk lamp,East,,
10483,  Daniel Rossi,daniel.rossi@example.com,2026-04-16,Pending,930.90,1,Desk lamp,South,Gift wrap,
10437,Priya Berg,priya.berg@example.com,2026-04-27,SHIPPED ,1522.3,1,Monitor arm,North,Gift wrap,
10429,Sofia Hughes,sofia.hughes@example.com,12 Apr 2026,pending,1810.8,3,Headset,North,Gift wrap,
10443,Carlos Lopez,carlos.lopez@example.com,2026-03-20, Pending,$135.10,3,Office chair,West,null,
10463,Felix Hughes  ,felix.hughes@example.com,2026-03-15,Shipped," 1,886.40 ",3,Cable kit,North,Gift wrap,
10500,Daniel Miller  ,daniel.miller@example.com,2026-06-16,shipped,97.42,3,Office chair,East,,
10446,Daniel Rossi  ,daniel.rossi@example.com,2026-02-27,Shipped ,247.65,2,Keyboard,South,Gift wrap,
10501,James Berg,james.berg@example.com,3/18/2026,cancelled,1239.2,1,Cable kit,West,Gift wrap,
10487,James Rossi,james.rossi@example.com,4/11/2026,SHIPPED ," 1,819.46 ",3,Keyboard,,Leave at door ,
10491,Ethan Rossi  ,ethan.rossi@example.com,2026-03-24,Shipped , 484.17 ,1,Standing desk,East,Call before delivery,
10423,Daniel Carter  ,daniel.carter@example.com,2026-01-08,shipped,$563.47,1,Office chair,Central,,
10485,  Grace Haddad,grace.haddad@example.com,1/1/2026,Shipped, 679.76 ,1,Headset,South,Gift wrap,
,,,,,,,,,,
10460,James Fischer  ,james.fischer@example.com,1/13/2026,CANCELLED,$114.47,1,Cable kit,South,Gift wrap,
10431,Tom Novak  ,tom.novak@example.com,2026-02-03,refunded,(324.13),1,Webcam,North,,
10425,Felix Berg  ,felix.berg@example.com,2026-04-03,Shipped ,$329.13,1,Webcam,West,Gift wrap,
10451,  James Reyes,james.reyes@example.com,1 Mar 2026,pending,$176.44,1,Webcam,N/A,,
10498,Aisha Miller  ,aisha.miller@example.com,3/25/2026,Shipped,116.19,1,Monitor arm,West,,
10455,  Priya Brooks,priya.brooks@example.com,5/24/2026,pending,1879.1,1,Monitor arm,North,,
